類別：所有類別
"補貼: (2025/5/18 - 2026/5/18, 台灣)"

TOP
補助,100
租 屋 補助,46
補貼,25
育兒 津貼,7
subsidy,2
补贴,1

RISING
subsidy,+140%
补贴,+110%

