類別：所有類別
"社會福利: (2025/5/18 - 2026/5/18, 台灣)"

TOP
社會 福利,100
welfare,51
社 福,37
福祉,16
社會 福利 機構,7
animal welfare,6
社 福 機構,6
welfare state,4
社會 福利 政策,4
welfare 中文,3

RISING
welfare state,+300%
animal welfare,+110%
welfare,+70%

